codi;nom_en;familia;regim;logica;d_xxs_xs;d_xs_s;d_s_m;d_m_l;trenca;ancoratge;capa_defecte;seccio
I7;Sleeve cap height;I;Llarg;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Caiguda;exterior;LLARGS DE MÀNIGA (I)
IC;Elbow patch placement;I;Col·locació;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Caiguda;exterior;LLARGS DE MÀNIGA (I)
IC1;Elbow patch width;I;Amplada;LINEAR+BREAK;0.2;0.3;0.3;0.3;XS;Cota;exterior;LLARGS DE MÀNIGA (I)
IC2;Elbow patch length;I;Amplada;LINEAR+BREAK;0.2;0.3;0.3;0.3;XS;Cota;exterior;LLARGS DE MÀNIGA (I)
J;1/2 Bicep width;J;Amplada;LINEAR+BREAK;0.6;0.8;0.8;0.8;XS;Cota;exterior;AMPLES DE MÀNIGA (J)
J1;Sleeve opening;J;Amplada;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Cota;exterior;AMPLES DE MÀNIGA (J)
J3;Cuff height;J;Fix;FIXED;0;0;0;0;—;Component;exterior;AMPLES DE MÀNIGA (J)
JJ;Sleeve width at elbow;J;Amplada;LINEAR+BREAK;0.4;0.6;0.6;0.6;XS;Cota;exterior;AMPLES DE MÀNIGA (J)
JTA;Sleeve strap;J;Llarg;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS;Component;exterior;AMPLES DE MÀNIGA (J)
K;Buttonhole placement;K;Col·locació;LINEAR+BREAK;0.15;0.2;0.2;0.2;XS;Caiguda;exterior;TRAUS, BOTONS I ULLETS (K)
KB;Button placement;K;Col·locació;LINEAR+BREAK;0.15;0.2;0.2;0.2;XS;Caiguda;exterior;TRAUS, BOTONS I ULLETS (K)
KU;Eyelet placement;K;Col·locació;LINEAR+BREAK;0.15;0.2;0.2;0.2;XS;Caiguda;exterior;TRAUS, BOTONS I ULLETS (K)
L;Back yoke width;L;Amplada;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Cota;exterior;CANESÚ (L · P)
L1;Yoke seam length;L;Llarg;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Tirada;exterior;CANESÚ (L · P)
P;Centre back yoke height;P;Fix;FIXED;0;0;0;0;—;Caiguda;exterior;CANESÚ (L · P)
P1;Side yoke height;P;Fix;FIXED;0;0;0;0;—;Caiguda;exterior;CANESÚ (L · P)
P2;Centre front yoke height;P;Fix;FIXED;0;0;0;0;—;Caiguda;exterior;CANESÚ (L · P)
M;Leg opening;M;Amplada;LINEAR+BREAK;1.2;1.8;1.8;1.8;XS;Cota;exterior;BOCA DE CAMAL (M)
N;Motive placement;N;Col·locació;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Caiguda;exterior;MOTIUS I APLICATS (N)
